Reference,Latitude,Longitude,Date_BP,SE,Chronoculture,Associated_lithics,Country,Site name,Associated.publications,NOTES
Beta-29773,-2.2333,11.3333,4590,70,LSA,1,Gabon,Lac Noir De Ndende,"Clist, 1995",
Beta-22082,-2.2333,11.3333,4990,120,LSA,1,Gabon,Lac Noir De Ndende,"Clist, 1995",
Beta-22081,-2.2333,11.3333,5420,120,LSA,1,Gabon,Lac Noir De Ndende,"Clist, 1995",
Beta-29772,-2.2333,11.3333,5530,230,LSA,1,Gabon,Lac Noir De Ndende,"Clist, 1995",
Beta-20060,-2.2333,11.3333,6450,130,LSA,1,Gabon,Lac Noir De Ndende,"Clist, 1995",
Beta-29774,-2.2333,11.3333,7180,220,LSA,1,Gabon,Lac Noir De Ndende,"Clist, 1995",
Beta-29777,-2.2333,11.3333,7760,120,LSA,1,Gabon,Lac Noir De Ndende,"Clist, 1995",
Gif-10176,-0.1333,16.166,5720,110,Stone Age,1,Gabon,Leledi 10,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
b-127079,1.532,28.208,2790,70,LSA,1,ROC,Lengbe,Mercader et al. 2000,"Mercader and Mart’, 2003"
Beta-16742,-0.2186,11.5875,7670,80,LSA,1,Gabon,Lope 2,"Oslisly, 1992",
Gif-9864,-0.2186,11.5875,6760,120,LSA,1,Gabon,Lope 2,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-1642,-0.2186,11.5875,7670,80,LSA,1,Gabon,Lope 2,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-9865,-0.2186,11.5875,9170,100,LSA,1,Gabon,Lope 2,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-A97561,-0.2186,11.5875,10320,110,LSA,1,Gabon,Lope 2,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Gif-A97561,-0.2186,11.5875,10320,110,LSA,1,Gabon,Lope 2,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Bondy-540,-4.85,14.49,13600,400,LSA,1,ROC,Loukoko II,"PinÃ§on, 1991","Mercader and Mart’, 2003"
Gif-11152,-0.0837,11.3134,40010,850,Lupemban,1,Gabon,Maboue 5,Assoko Ndong 2001: 492 Tab. 69; Garcin et al. 2018,
Utc-Nr-5076,1.737,28.811,1080,41,LSA,1,DRC,Makubasi NW o.,Mercader et al. 2000,"Mercader and Mart’, 2003"
Os-21250,1.737,28.811,18800,100,LSA,1,DRC,Makubasi SE,Mercader et al. 2000,"Mercader and Mart’, 2003"
Os-21250,1.737,28.811,18800,100,Stone Age,1,DRC,Makubasi SE,Mercader et al. 2000,"Mercader and Mart’, 2003"
Beta-20068,-1.2653,10.6167,3890,140,LSA,1,Gabon,Mandilou 2,"Clist, 1995",
Os-21251,2.118,28.573,715,45,LSA,1,DRC,Matangai T.NW,Mercader et al. 2000,"Mercader and Mart’, 2003"
GrN-7344,0.1,29.44,16740,150,LSA,1,DRC,Matupi,de Maret et al. 1977: 491; van Noten 1982,
GrN-6918,0.1,29.44,21210,400,LSA,1,DRC,Matupi,de Maret et al. 1977: 491; van Noten 1982,
OxTL-200,0.1,29.44,21350,3500,LSA,1,DRC,Matupi,de Maret et al. 1977: 491; van Noten 1982,
GrN-7347,0.1,29.44,21630,410,LSA,1,DRC,Matupi,de Maret et al. 1977: 491; van Noten 1982,
GrN-7348,0.1,29.44,22100,240,LSA,1,DRC,Matupi,de Maret et al. 1977: 491; van Noten 1982,
GrN-7349,0.1,29.44,33000,1900,LSA,1,DRC,Matupi,de Maret et al. 1977: 491; van Noten 1982,
GrN-7246,0.1,29.44,>40700,NA,LSA,1,DRC,Matupi,de Maret et al. 1977: 491; van Noten 1982,
Oxa-1139,6.0502,10.2035,9050,100,LSA,1,Cameroon,Mbi Crater,Delneuf et al. 1998,
Ly-1601d,6.0502,10.2035,18180,820,Unspecified,1,Cameroon,Mbi Crater,Delneuf et al. 1998,
Ly-1602d,6.0502,10.2035,18730,690,Unspecified,1,Cameroon,Mbi Crater,Delneuf et al. 1998,
Gif-1914,-3.9392,13.7172,6600,130,LSA,1,ROC,Moussanda,de Maret et al. 1977: 491; van Noten 1982,
